model,score_column,target_label,budget,reviewed_tokens,risky_found,precision,recall_capture_rate,enrichment_vs_baseline,baseline_positive_rate,total_risky_tokens,n_scored_tokens
rule_baseline,silver_label_score,rugcheck_binary,top_100,100,83,0.83,0.0006120176674015795,1.011414276971176,0.820633066882893,135617,165259
rule_baseline,silver_label_score,rugcheck_binary,top_500,500,409,0.818,0.0030158460959909157,0.9967914199547253,0.820633066882893,135617,165259
rule_baseline,silver_label_score,rugcheck_binary,top_1000,1000,824,0.824,0.006075934432998813,1.0041028484629506,0.820633066882893,135617,165259
rule_baseline,silver_label_score,rugcheck_binary,top_1pct,1653,1379,0.8342407743496673,0.010168341727069615,1.0165819633840274,0.820633066882893,135617,165259
rule_baseline,silver_label_score,rugcheck_binary,top_5pct,8263,6934,0.8391625317681229,0.051129283201958454,1.022579476300672,0.820633066882893,135617,165259
rule_baseline,silver_label_score,rugcheck_binary,top_10pct,16526,13567,0.8209488079390052,0.10003908064623167,1.0003847530264793,0.820633066882893,135617,165259
old_weak_token_logistic,token_logistic_score,rugcheck_binary,top_100,100,71,0.71,0.0005235331853676162,0.8651857068066687,0.820633066882893,135617,165259
old_weak_token_logistic,token_logistic_score,rugcheck_binary,top_500,500,307,0.614,0.002263727998702228,0.7482028506750629,0.820633066882893,135617,165259
old_weak_token_logistic,token_logistic_score,rugcheck_binary,top_1000,1000,627,0.627,0.0046233141862745825,0.7640442791095511,0.820633066882893,135617,165259
old_weak_token_logistic,token_logistic_score,rugcheck_binary,top_1pct,1653,1073,0.6491228070175439,0.00791198743520355,0.7910024994278909,0.820633066882893,135617,165259
old_weak_token_logistic,token_logistic_score,rugcheck_binary,top_5pct,8263,6247,0.7560208156843762,0.04606354660551406,0.9212653574344243,0.820633066882893,135617,165259
old_weak_token_logistic,token_logistic_score,rugcheck_binary,top_10pct,16526,12983,0.7856105530678931,0.09573283585391212,0.9573225656772155,0.820633066882893,135617,165259
old_weak_xgboost_token,token_model_score,rugcheck_binary,top_100,100,78,0.78,0.0005751491332207614,0.950485706069298,0.820633066882893,135617,165259
old_weak_xgboost_token,token_model_score,rugcheck_binary,top_500,500,352,0.704,0.00259554480632959,0.8578742782984433,0.820633066882893,135617,165259
old_weak_xgboost_token,token_model_score,rugcheck_binary,top_1000,1000,659,0.659,0.004859272805031818,0.8030385644867531,0.820633066882893,135617,165259
old_weak_xgboost_token,token_model_score,rugcheck_binary,top_1pct,1653,1168,0.7065940713853599,0.008612489584639093,0.861035339544992,0.820633066882893,135617,165259
old_weak_xgboost_token,token_model_score,rugcheck_binary,top_5pct,8263,6478,0.783976763887208,0.047766872884667855,0.9553316768785337,0.820633066882893,135617,165259
old_weak_xgboost_token,token_model_score,rugcheck_binary,top_10pct,16526,13261,0.8024325305579088,0.0977827263543656,0.9778213466414198,0.820633066882893,135617,165259
graphsage_direct,graphsage_score,rugcheck_binary,top_100,100,72,0.72,0.0005309068922037798,0.8773714209870443,0.820633066882893,135617,165259
graphsage_direct,graphsage_score,rugcheck_binary,top_500,500,307,0.614,0.002263727998702228,0.7482028506750629,0.820633066882893,135617,165259
graphsage_direct,graphsage_score,rugcheck_binary,top_1000,1000,633,0.633,0.004667556427291564,0.7713557076177765,0.820633066882893,135617,165259
graphsage_direct,graphsage_score,rugcheck_binary,top_1pct,1653,1107,0.6696914700544465,0.008162693467633113,0.8160668843119061,0.820633066882893,135617,165259
graphsage_direct,graphsage_score,rugcheck_binary,top_5pct,8263,6398,0.7742950502238897,0.04717697633777476,0.9435338173307902,0.820633066882893,135617,165259
graphsage_direct,graphsage_score,rugcheck_binary,top_10pct,16526,13157,0.7961394166767518,0.09701586084340459,0.9701527379353866,0.820633066882893,135617,165259
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,top_100,100,70,0.7,0.0005161594785314525,0.8529999926262931,0.820633066882893,135617,165259
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,top_500,500,343,0.686,0.0025291814448041173,0.8359399927737673,0.820633066882893,135617,165259
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,top_1000,1000,659,0.659,0.004859272805031818,0.8030385644867531,0.820633066882893,135617,165259
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,top_1pct,1653,1153,0.6975196612220206,0.00850188398209664,0.8499775226843972,0.820633066882893,135617,165259
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,top_5pct,8263,6387,0.7729638145951834,0.047095865562576965,0.9419116116429754,0.820633066882893,135617,165259
old_weak_xgboost_token_graphsage,combined_model_score,rugcheck_binary,top_10pct,16526,13208,0.7992254629069345,0.09739191989204893,0.9739133056662298,0.820633066882893,135617,165259
