model,target_label,split/test_set,bin,n_samples,mean_predicted_probability,observed_positive_rate
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.1, 0.2]",24,0.1864454094724123,0.5416666666666666
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.2, 0.3]",3603,0.2811966086758111,0.771856786011657
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.3, 0.4]",75709,0.36167467097567285,0.8411945739608236
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.4, 0.5]",13047,0.4368837677507812,0.731355867249176
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.5, 0.6]",6469,0.553110100451426,0.6858865357860566
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.6, 0.7]",60175,0.647968703476787,0.8298628998753635
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.7, 0.8]",6189,0.7180093598793157,0.8369688156406527
rule_baseline,rugcheck_binary,all_usable_rugcheck,"(0.8, 0.9]",43,0.8271707485062678,0.9534883720930233
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(-0.001, 0.1]",103902,0.013809541218854027,0.8286365998729572
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.1, 0.2]",30028,0.1450048936231326,0.8216997469028906
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.2, 0.3]",16580,0.24252323215837002,0.8019903498190591
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.3, 0.4]",5924,0.3427070890874535,0.8171843349088453
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.4, 0.5]",2749,0.44324635762570186,0.8115678428519462
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.5, 0.6]",1444,0.5452873498705008,0.7811634349030471
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.6, 0.7]",1094,0.6480963946290507,0.793418647166362
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.7, 0.8]",798,0.7489598017772591,0.7581453634085213
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.8, 0.9]",880,0.8512218219241788,0.7511363636363636
old_weak_token_logistic,rugcheck_binary,all_usable_rugcheck,"(0.9, 1.0]",1860,0.9651570288628915,0.6532258064516129
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(-0.001, 0.1]",164340,0.0007807356709491808,0.8215528781793842
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.1, 0.2]",103,0.14216275421359223,0.7475728155339806
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.2, 0.3]",59,0.24454987999999994,0.6440677966101694
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.3, 0.4]",54,0.34740222666666665,0.48148148148148145
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.4, 0.5]",41,0.45882675463414635,0.4878048780487805
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.5, 0.6]",64,0.546104764375,0.59375
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.6, 0.7]",87,0.6522618747126437,0.5172413793103449
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.7, 0.8]",106,0.7596816596226414,0.5754716981132075
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.8, 0.9]",229,0.8528276424890829,0.6986899563318777
old_weak_xgboost_token,rugcheck_binary,all_usable_rugcheck,"(0.9, 1.0]",176,0.9265399973295455,0.7840909090909091
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(-0.001, 0.1]",104191,0.011916361324725896,0.8265877091111516
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.1, 0.2]",38405,0.1335632826534045,0.8202838172113006
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.2, 0.3]",7876,0.24160208546724224,0.7938039614017267
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.3, 0.4]",3777,0.3441644278316124,0.8249933809902039
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.4, 0.5]",2443,0.4480686629431028,0.8076135898485469
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.5, 0.6]",1790,0.5477767314301676,0.8050279329608938
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.6, 0.7]",1573,0.6492106767895741,0.7933884297520661
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.7, 0.8]",1538,0.7514067866840052,0.8159947984395318
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.8, 0.9]",1582,0.8497619524525918,0.8008849557522124
graphsage_direct,rugcheck_binary,all_usable_rugcheck,"(0.9, 1.0]",2084,0.9553100517514396,0.6904990403071017
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(-0.001, 0.1]",164311,0.0007760188554424116,0.8215639853692084
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.1, 0.2]",127,0.14394671122834646,0.6771653543307087
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.2, 0.3]",74,0.24108511608108107,0.5405405405405406
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.3, 0.4]",61,0.3484121304918032,0.6557377049180327
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.4, 0.5]",62,0.45048913129032253,0.6774193548387096
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.5, 0.6]",50,0.5561316221999999,0.5
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.6, 0.7]",64,0.65493982640625,0.65625
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.7, 0.8]",116,0.7601913384482759,0.5517241379310345
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.8, 0.9]",228,0.858271991403509,0.6973684210526315
old_weak_xgboost_token_graphsage,rugcheck_binary,all_usable_rugcheck,"(0.9, 1.0]",166,0.9315415556626507,0.7650602409638554
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.1, 0.2]",10,0.187712823788033,0.6
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.2, 0.3]",2097,0.2819766055231994,0.8221268478779208
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.3, 0.4]",45262,0.36136593312966087,0.8540497547611683
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.4, 0.5]",7115,0.4361639694541165,0.7543218552354182
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.5, 0.6]",3364,0.5538743398567388,0.6848989298454221
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.6, 0.7]",38888,0.6477205716604166,0.8181444147294795
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.7, 0.8]",3481,0.717782232601162,0.8431485205400747
rule_baseline,rugcheck_binary,dune_2025_rugcheck,"(0.8, 0.9]",33,0.8291718982224431,0.9696969696969697
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(-0.001, 0.1]",61902,0.014640705102518536,0.8417983263868696
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.1, 0.2]",19228,0.14541113274792988,0.8171416684002496
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.2, 0.3]",10851,0.24162911450780375,0.7860105059441526
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.3, 0.4]",3446,0.3417414411989612,0.8087637840975044
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.4, 0.5]",1563,0.44348897062574266,0.8144593730006398
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.5, 0.6]",787,0.5451438342517131,0.7890724269377383
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.6, 0.7]",544,0.6474218659073372,0.8014705882352942
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.7, 0.8]",421,0.7501634666522825,0.7600950118764845
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.8, 0.9]",459,0.8542217520763037,0.738562091503268
old_weak_token_logistic,rugcheck_binary,dune_2025_rugcheck,"(0.9, 1.0]",1049,0.9652968079694565,0.680648236415634
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(-0.001, 0.1]",99733,0.0007529998611507625,0.8269780313436876
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.1, 0.2]",60,0.13874511108333334,0.8333333333333334
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.2, 0.3]",37,0.2435460386486486,0.7297297297297297
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.3, 0.4]",28,0.3536313017857143,0.5
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.4, 0.5]",29,0.45782548620689656,0.4827586206896552
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.5, 0.6]",43,0.5468873881395347,0.627906976744186
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.6, 0.7]",46,0.6490840258695653,0.4782608695652174
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.7, 0.8]",54,0.7593212677777778,0.6481481481481481
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.8, 0.9]",120,0.8548646395833333,0.8083333333333333
old_weak_xgboost_token,rugcheck_binary,dune_2025_rugcheck,"(0.9, 1.0]",100,0.9270147303999999,0.77
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(-0.001, 0.1]",62171,0.012910969466066109,0.8405365845812356
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.1, 0.2]",24689,0.13350514042978656,0.8084572076633318
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.2, 0.3]",4794,0.24199248872340423,0.7805590321234877
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.3, 0.4]",2262,0.3442393657692308,0.8390804597701149
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.4, 0.5]",1464,0.4479513452663934,0.8169398907103825
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.5, 0.6]",1063,0.5476016375917216,0.7958607714016933
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.6, 0.7]",912,0.6495295796929824,0.7861842105263158
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.7, 0.8]",863,0.751247930023175,0.8111239860950173
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.8, 0.9]",890,0.8493295936292135,0.8044943820224719
graphsage_direct,rugcheck_binary,dune_2025_rugcheck,"(0.9, 1.0]",1142,0.9551367826970228,0.7075306479859895
old_weak_xgboost_token_graphsage,rugcheck_binary,dune_2025_rugcheck,"(-0.001, 0.1]",99716,0.0007519818794497342,0.826998676240523
