artifact,exists,report_ready,row_count,main_columns,reason
outputs\final\final_run_summary.md,True,True,,,
outputs\final\token_labels_all_versions.csv,True,True,167507.0,"token_address, year, weak_label, silver_label, silver_label_score, rugcheck_label, api_ok, lifespan_hours, sell_pressure, entity_concentration_ratio, total_volume, activity_count",
outputs\final\label_sensitivity_summary.csv,True,True,14.0,"label_version, year, total_tokens, positive_count, positive_rate, uncertain_count, uncertain_rate, rugcheck_coverage_count, rugcheck_coverage_rate",
outputs\final\weak_label_rugcheck_confusion.csv,True,True,5.0,"label_version, n_compared, tp, fp, tn, fn, precision, recall, f1, agreement_rate",
outputs\final\temporal_model_metrics.csv,True,True,6.0,"precision, recall, f1, roc_auc, pr_auc, predicted_positive_rate, true_positive_rate, brier_score, ece, train_source/year, test_source/year, label_source",
outputs\final\threshold_calibration_metrics.csv,True,True,10.0,"model, target_label, split/test_set, brier_score, ece, predicted_positive_rate_at_0_5, true_positive_rate, n_samples",
outputs\final\calibration_bins.csv,True,True,96.0,"model, target_label, split/test_set, bin, n_samples, mean_predicted_probability, observed_positive_rate",
outputs\final\topk_ranking_metrics.csv,True,True,10.0,"model, target_label, split/test_set, baseline_positive_rate, predicted_positive_rate, auprc, roc_auc, precision_at_1pct, enrichment_at_1pct, precision_at_5pct, enrichment_at_5pct, precision_at_10pct",
outputs\final\graphsage_ablation.csv,True,True,9.0,"precision, recall, f1, average_precision, roc_auc, tn, fp, fn, tp, window_hours, experiment, model",
figures\final\label_sensitivity.png,True,True,,,
figures\final\weak_label_vs_rugcheck_confusion.png,True,True,,,
figures\final\behavior_separation.png,True,True,,,
figures\final\temporal_shift_2024_2025.png,True,True,,,
figures\final\predicted_positive_rate_by_model.png,True,True,,,
figures\final\topk_enrichment.png,True,True,,,
figures\final\calibration_curve.png,True,True,,,
figures\final\feature_importance.png,True,True,,,
figures\final\token_distribution_by_source_year.png,True,True,,,
figures\final\lifespan_cumulative_curve.png,True,True,,,
