label_version,year,total_tokens,positive_count,positive_rate,uncertain_count,uncertain_rate,rugcheck_coverage_count,rugcheck_coverage_rate
weak_strict,2024,66096,324,0.004901960784313725,0,0.0,65009,0.9835542241587993
weak_strict,2025,101411,415,0.004092258236286004,0,0.0,100250,0.9885515378016192
weak_relaxed,2024,66096,64545,0.9765341321713871,0,0.0,65009,0.9835542241587993
weak_relaxed,2025,101411,99291,0.9790949699736715,0,0.0,100250,0.9885515378016192
weak_3class,2024,66096,324,0.004901960784313725,65758,0.9948862260953765,65009,0.9835542241587993
weak_3class,2025,101411,415,0.004092258236286004,100986,0.9958091331315143,100250,0.9885515378016192
rugcheck_binary,2024,66096,52777,0.7984900750423626,1087,0.016445775841200678,65009,0.9835542241587993
rugcheck_binary,2025,101411,82840,0.8168739091420063,1161,0.011448462198380846,100250,0.9885515378016192
label_union,2024,66096,52902,0.8003812636165577,1083,0.016385257806826436,65009,0.9835542241587993
label_union,2025,101411,82964,0.8180966561812821,1159,0.011428740471940913,100250,0.9885515378016192
label_intersection,2024,66096,199,0.0030107722101186153,1087,0.016445775841200678,65009,0.9835542241587993
label_intersection,2025,101411,291,0.0028695111970101863,1161,0.011448462198380846,100250,0.9885515378016192
label_consensus,2024,66096,199,0.0030107722101186153,53786,0.8137557492132655,65009,0.9835542241587993
label_consensus,2025,101411,291,0.0028695111970101863,83832,0.8266558854562128,100250,0.9885515378016192
