model,score_column,evaluation_target,split/test_set,threshold,n_samples,predicted_positive_rate,precision,recall,f1,true_positive_rate,false_positive_count,false_negative_count
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.01,165259,1.0,0.820633066882893,1.0,0.9014810087876733,0.820633066882893,29642,0
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.02,165259,1.0,0.820633066882893,1.0,0.9014810087876733,0.820633066882893,29642,0
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.05,165259,1.0,0.820633066882893,1.0,0.9014810087876733,0.820633066882893,29642,0
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.1,165259,1.0,0.820633066882893,1.0,0.9014810087876733,0.820633066882893,29642,0
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.2,165259,0.9998547734162738,0.8206735861046388,0.9999041418111299,0.9014665018015503,0.820633066882893,29631,13
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.3,165259,0.9780526325343855,0.8217617798455751,0.9793978630997588,0.8936817281134671,0.820633066882893,28809,2794
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.5,165259,0.4409805214844577,0.8177589329820517,0.4394360589011702,0.5716738691466859,0.820633066882893,13281,76022
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.7,165259,0.03771050290755723,0.837772785622593,0.0384981233916102,0.07361349040176526,0.820633066882893,1011,130396
rule_baseline,silver_label_score,rugcheck_binary,all_usable_rugcheck,0.9,165259,0.0,0.0,0.0,0.0,0.820633066882893,0,135617
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.01,165259,0.4611851699453585,0.8076887751754904,0.45391064542055937,0.5811964198043733,0.820633066882893,14657,74059
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.02,165259,0.4510798201610805,0.8079146824066,0.44408886791478946,0.573138816722338,0.820633066882893,14319,75391
old_weak_token_logistic,token_logistic_score,rugcheck_binary,all_usable_rugcheck,0.05,165259,0.4390441670347757,0.8094713049230939,0.433072549901561,0.5642614556162423,0.820633066882893,13824,76885
