model,strategy,threshold_value,total_tokens,predicted_rug_tokens,predicted_rug_rate,heuristic_rug_rate,agreement_with_heuristic,f1_vs_heuristic,recall_vs_heuristic,precision_vs_heuristic
logistic_regression,default_0.5,0.5,37015,27611,0.745940834796704,0.024395515331622316,0.22982574631905983,0.00021042295012976082,0.0033222591362126247,0.00010865234870160443
logistic_regression,best_f1_threshold_2024,0.45184040746614307,37015,27617,0.7461029312440902,0.024395515331622316,0.2297717141699311,0.0003506311360448808,0.005537098560354375,0.00018104790527573596
logistic_regression,top_1pct_highest_risk,0.5650551401626722,37015,371,0.010022963663379712,0.024395515331622316,0.965581521004998,0.0,0.0,0.0
logistic_regression,top_5pct_highest_risk,0.5650551401626722,37015,1851,0.05000675401864109,0.024395515331622316,0.9255977306497366,0.0,0.0,0.0
logistic_regression,top_10pct_highest_risk,0.5650551401626722,37015,3702,0.10001350803728218,0.024395515331622316,0.8755909766310955,0.0,0.0,0.0
random_forest,default_0.5,0.5,37015,30147,0.8144535998919357,0.024395515331622316,0.19740645684182087,0.04322061191626409,0.743078626799557,0.022257604405081767
random_forest,best_f1_threshold_2024,0.2141635023310042,37015,36988,0.9992705659867621,0.024395515331622316,0.025124949344860193,0.04766303343801958,1.0,0.02441332323996972
random_forest,top_1pct_highest_risk,0.7206911883425423,37015,371,0.010022963663379712,0.024395515331622316,0.9702823179791976,0.13657770800627944,0.09634551495016612,0.23450134770889489
random_forest,top_5pct_highest_risk,0.6855284226356485,37015,1851,0.05000675401864109,0.024395515331622316,0.9372686748615426,0.1568627450980392,0.23920265780730898,0.1166936790923825
random_forest,top_10pct_highest_risk,0.6425093283236157,37015,3702,0.10001350803728218,0.024395515331622316,0.8954748075104687,0.15982627578718783,0.40753045404208194,0.09940572663425176
xgboost,default_0.5,0.5,37015,35424,0.957017425368094,0.024395515331622316,0.05965149263811968,0.041842155972141935,0.8416389811738649,0.02145438121047877
xgboost,best_f1_threshold_2024,0.20339924097061157,37015,36978,0.9990004052411184,0.024395515331622316,0.02539511009050385,0.04767561574404055,1.0,0.024419925361025475
xgboost,top_1pct_highest_risk,0.8112812042236328,37015,371,0.010022963663379712,0.024395515331622316,0.966175874645414,0.01726844583987441,0.012181616832779624,0.029649595687331536
xgboost,top_5pct_highest_risk,0.7650949358940125,37015,1851,0.05000675401864109,0.024395515331622316,0.9318114277995407,0.08351488743645606,0.1273532668881506,0.06212857914640735
xgboost,top_10pct_highest_risk,0.7052973508834839,37015,3702,0.10001350803728218,0.024395515331622316,0.8917465892205862,0.1298588490770901,0.33111849390919157,0.08076715289032955
